block_timestamp,base_fee_per_gas,gas_used
2021-12-05 18:30:40,114732076992,10070243
2021-12-05 18:29:49,105232494112,25832532
2021-12-05 18:29:28,100465457328,20673635
2021-12-05 18:29:20,89305645300,29995268
2021-12-05 18:29:18,99896376732,2275704
2021-12-05 18:29:11,106317180388,7737717
2021-12-05 18:28:51,103642753541,18078842
2021-12-05 18:28:27,95067752396,25823861
2021-12-05 18:28:25,105779682700,2848029
2021-12-05 18:27:53,94049535438,29966769
2021-12-05 18:27:44,83606249552,29989214
2021-12-05 18:27:40,92582448454,3362285
2021-12-05 18:27:25,92520072193,15080903
2021-12-05 18:27:23,102303614037,3524110
2021-12-05 18:27:09,101621336850,15805670
2021-12-05 18:26:51,90342214521,29981835
2021-12-05 18:26:49,101804638926,1487463
2021-12-05 18:26:43,112498689334,3592880
2021-12-05 18:26:38,102398671430,26836087
2021-12-05 18:26:34,114303473240,2499457
2021-12-05 18:26:06,116737576224,12497872
2021-12-05 18:25:56,105117830093,28264583
2021-12-05 18:24:30,93445949706,30017675
2021-12-05 18:24:18,90421973305,19013008
2021-12-05 18:23:45,80382085718,29958764
2021-12-05 18:23:08,71451820997,29997763
2021-12-05 18:22:59,76160513307,7573446
2021-12-05 18:22:53,79352418498,10173011
2021-12-05 18:22:49,85023528303,6989078
2021-12-05 18:22:32,75581641101,29990563
2021-12-05 18:22:26,82066411623,5512352
2021-12-05 18:22:15,79202832632,19338490
2021-12-05 18:21:58,79294899109,14846090
2021-12-05 18:21:50,78823909439,15701603
2021-12-05 18:21:48,82443411485,9722097
2021-12-05 18:21:33,73285257057,29937204
2021-12-05 18:21:29,76854186893,9418228
2021-12-05 18:21:27,86207448048,1976478
2021-12-05 18:21:14,86598041694,14444630
2021-12-05 18:21:11,81457506881,22572834
2021-12-05 18:21:08,90678043549,2797861
2021-12-05 18:20:57,92195347619,13012307
2021-12-05 18:20:43,99341979103,6354777
2021-12-05 18:20:17,89555230428,28086218
2021-12-05 18:20:07,79841544723,29570371
2021-12-05 18:19:52,70978109109,29926398
2021-12-05 18:19:51,78213410000,3895314
2021-12-05 18:19:47,87854362125,1829665
2021-12-05 18:19:35,86760592305,16512811
2021-12-05 18:19:32,80876489933,23753651
2021-12-05 18:19:28,90637347423,2077037
2021-12-05 18:19:10,80577743679,30010490
2021-12-05 18:19:06,86485692310,6802646
2021-12-05 18:19:03,88047781010,12871035
2021-12-05 18:18:57,93812248983,7626377
2021-12-05 18:18:53,102120582190,5236997
2021-12-05 18:18:31,93733134015,25712584
2021-12-05 18:18:25,100549407497,6851731
2021-12-05 18:18:00,92611840886,25260137
2021-12-05 18:17:52,98205975305,8156395
2021-12-05 18:17:36,92666247715,22152022
2021-12-05 18:17:28,82373737728,29964581
2021-12-05 18:17:25,93404215989,828719
2021-12-05 18:16:58,83032440185,29989308
2021-12-05 18:16:55,88596449312,7456470
2021-12-05 18:16:51,82121564836,24437411
2021-12-05 18:16:42,90116135322,4350033
2021-12-05 18:16:34,95320593298,8448010
2021-12-05 18:16:21,87624159764,25515091
2021-12-05 18:16:06,85322733445,18218974
2021-12-05 18:15:51,89203861706,26175974
2021-12-05 18:15:47,99194936947,2913405
2021-12-05 18:15:38,101039215000,12809629
2021-12-05 18:15:27,107005757202,8308887
2021-12-05 18:15:00,95120638629,30022973
2021-12-05 18:14:55,103821887369,4942864
2021-12-05 18:14:52,98503981565,21499358
2021-12-05 18:14:42,108700286276,3743756
2021-12-05 18:13:40,98264698315,27716757
2021-12-05 18:13:27,95516612928,18452491
2021-12-05 18:13:23,84909117825,29991144
2021-12-05 18:12:52,76756402574,27718627
2021-12-05 18:12:50,86411804671,1589994
2021-12-05 18:12:49,97438514790,1420098
2021-12-05 18:12:28,86615456442,30023894
2021-12-05 18:12:26,97665598256,1422884
2021-12-05 18:12:25,94950564834,18449299
2021-12-05 18:12:04,108729974991,14762582
2021-12-05 18:11:40,106196370052,17845400
2021-12-05 18:11:26,94696658535,29543521
2021-12-05 18:11:02,105142368282,3072196
2021-12-05 18:10:44,104643942017,15556333
2021-12-05 18:10:20,93027551386,29984396
2021-12-05 18:10:18,102543118298,3860731
2021-12-05 18:10:09,102658136581,14865538
2021-12-05 18:09:46,104929502352,12390298
2021-12-05 18:09:25,94651688780,28030276
2021-12-05 18:09:08,86234893719,26712350
2021-12-05 18:09:07,95384349302,3485955
2021-12-05 18:08:59,87768939068,25411989
2021-12-05 18:08:57,98133530386,2328204
2021-12-05 18:08:55,92733546253,21987742
2021-12-05 18:08:50,99053910486,7343122
2021-12-05 18:08:41,88051279429,29994822
2021-12-05 18:08:36,98652720113,2102478
2021-12-05 18:08:26,103123960184,9797050
2021-12-05 18:08:24,114217091320,3345195
2021-12-05 18:07:57,103934800520,26845256
2021-12-05 18:07:50,106610451000,11976599
2021-12-05 18:07:40,111782771166,9447459
2021-12-05 18:07:26,114110832694,12551682
2021-12-05 18:07:17,109026188834,20616385
2021-12-05 18:07:02,96914515074,30055144
2021-12-05 18:06:59,108400839446,2286826
2021-12-05 18:06:58,120584471448,2881024
2021-12-05 18:06:55,131857976730,4744922
2021-12-05 18:06:18,117220829655,29984005
2021-12-05 18:06:16,129422479445,3683062
2021-12-05 18:05:47,115059139328,29950797
2021-12-05 18:05:37,122956267143,7278502
2021-12-05 18:05:33,134694300568,4538072
2021-12-05 18:05:13,128528947566,20756212
2021-12-05 18:04:58,135337343166,8954425
2021-12-05 18:04:27,120307297366,29991655
2021-12-05 18:04:06,129247100199,6699765
2021-12-05 18:03:57,121876868955,22234892
2021-12-05 18:03:25,110523037666,27300567
2021-12-05 18:03:15,123514776661,2375636
2021-12-05 18:03:04,129668243676,9305344
2021-12-05 18:02:22,116458174036,28639684
2021-12-05 18:02:01,122055228907,9497164
2021-12-05 18:01:19,108497672565,30024087
2021-12-05 18:01:01,96452052273,29986400
2021-12-05 18:01:00,108237410256,1931990
2021-12-05 18:00:57,123304852978,336399
2021-12-05 18:00:34,116638069752,21837598
2021-12-05 18:00:24,104308948490,29183774
2021-12-05 18:00:22,117017446152,1969508
2021-12-05 18:00:21,131353275913,1903261
2021-12-05 17:59:51,117472395083,29179550
2021-12-05 17:59:49,124756969061,7993186
2021-12-05 17:59:38,130475175175,9740879
2021-12-05 17:59:14,115980469598,29997020
2021-12-05 17:59:05,129459995754,2503013
2021-12-05 17:58:49,135737158380,9450602
2021-12-05 17:58:43,138974139417,12204929
2021-12-05 17:57:51,123543080336,30017740
2021-12-05 17:57:35,127592424067,11191592
2021-12-05 17:57:22,115504904222,27530992
2021-12-05 17:56:49,104674184832,27416466
2021-12-05 17:56:45,120661376994,13971929
