"date","base_fee_per_gas_mean"
"2021-08-05","6.9829501E10"
"2021-08-06","4.243576E10"
"2021-08-07","4.2868257E10"
"2021-08-08","4.3053789E10"
"2021-08-09","4.3491471E10"
"2021-08-10","5.4419423E10"
"2021-08-11","5.4391816E10"
"2021-08-12","5.072497E10"
"2021-08-13","4.8889881E10"
"2021-08-14","4.3300774E10"
"2021-08-15","5.4771167E10"
"2021-08-16","4.8930734E10"
"2021-08-17","4.4342342E10"
"2021-08-18","4.0304181E10"
"2021-08-19","3.6173517E10"
"2021-08-20","3.5925516E10"
"2021-08-21","3.16689715E10"
"2021-08-22","3.1606313E10"
"2021-08-23","5.5867585E10"
"2021-08-24","7.3551684E10"
"2021-08-25","8.6983877E10"
"2021-08-26","8.4885742E10"
"2021-08-27","1.14892186E11"
"2021-08-28","8.0353051E10"
"2021-08-29","8.5685158E10"
"2021-08-30","1.03609737E11"
"2021-08-31","1.13042563E11"
,
