time,block_number,transaction_index,value,gas,gas_price,max_fee_per_gas,max_priority_fee_per_gas,count
2021-08-14 00:00:03.000,13019960.0,197.5,0.0,235846.351010101,63476446300.866165,93655019855.26315,11959732801.31579,396
2021-08-14 00:00:29.000,13019961.0,47.5,0.0,164820.75,61679086116.729164,81083131770.83333,5208927122.083333,96
2021-08-14 00:00:34.000,13019962.0,152.5,0.0,207560.33986928104,65010047674.24183,87110647433.96227,16060326013.962265,306
2021-08-14 00:00:48.000,13019963.0,2.0,0.0,271941.2,62595827186.2,73371009000.0,4000000000.0,5
2021-08-14 00:00:49.000,13019964.0,74.0,0.0,185274.04697986576,51208558128.80537,,,149
2021-08-14 00:00:57.000,13019965.0,59.0,239.56164383561645,169753.96638655462,59210902862.31933,80387800565.21739,16888518825.217392,119
2021-08-14 00:01:00.000,13019966.0,160.0,0.0,201566.32087227414,59704736709.41122,76434676177.41936,22337299032.258064,321
2021-08-14 00:01:18.000,13019967.0,12.5,0.0,124736.26923076923,73795204742.96153,82905335714.28572,10760649428.571428,26
2021-08-14 00:01:24.000,13019968.0,124.5,0.0,172962.96,55791304124.468,80056950230.76923,10996829798.461538,250
2021-08-14 00:01:32.000,13019969.0,128.0,0.0,175143.86770428016,64005276866.57198,86763970123.28767,10146647936.712328,257
2021-08-14 00:01:51.000,13019970.0,42.5,67.3125,294042.9186046512,62925849117.30232,90750075785.71428,10414285857.142857,86
2021-08-14 00:01:59.000,13019971.0,37.5,0.0,146608.05263157896,62014557037.8421,64193128333.333336,29033648666.666668,76
2021-08-14 00:02:12.000,13019972.0,149.5,0.0,159624.57,50065096547.68,79001637000.0,14288591170.961538,300
2021-08-14 00:02:21.000,13019973.0,81.0,0.0,224949.73619631902,73917900835.56442,82803443266.66667,5280000000.0,163
2021-08-14 00:02:39.000,13019975.0,128.0,15.561643835616438,185280.3035019455,51408412802.15564,70413234513.51352,16383728891.891891,257
2021-08-14 00:02:47.000,13019976.0,18.0,0.0,117298.67567567568,68332347826.72973,84927464444.44444,6000000000.0,37
2021-08-14 00:02:50.000,13019977.0,87.0,0.0,173160.10857142857,56817946378.24571,91555455918.91891,9698320324.324324,175
2021-08-14 00:03:01.000,13019978.0,87.5,0.0,181428.92045454544,61598888896.71023,110899721516.12903,36432502774.19355,176
2021-08-14 00:03:14.000,13019979.0,242.5,0.0,164716.7551440329,75040500842.40741,92204968522.22223,17945900901.11111,486
